epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1112.5,1.08143,1.72242,1.23428,0.8535,0.85475,0.91882,0.69297,0.79313,0.85552,1.02771,0.0004738,0.0004738,0.0004738
2,2198.6,0.98392,1.01958,1.15456,0.90879,0.89509,0.94148,0.69814,0.8488,0.73276,1.06189,0.00093132,0.00093132,0.00093132
3,3288.19,0.97971,0.91044,1.16229,0.89926,0.90111,0.94183,0.7095,0.79081,0.66627,1.04451,0.00136998,0.00136998,0.00136998
4,4368.8,0.95446,0.81794,1.14575,0.81456,0.80864,0.87923,0.61638,0.9343,0.83826,1.12395,0.00134412,0.00134412,0.00134412
5,5463.54,0.92297,0.75072,1.12679,0.93288,0.93437,0.96724,0.77719,0.70562,0.5175,0.98935,0.00131582,0.00131582,0.00131582
6,6551.11,0.87956,0.69891,1.10491,0.95586,0.9461,0.97479,0.79719,0.64895,0.46983,0.95781,0.00128753,0.00128753,0.00128753
7,7641,0.87069,0.67784,1.09473,0.94972,0.94119,0.97283,0.80061,0.63934,0.46938,0.95805,0.00125923,0.00125923,0.00125923
8,8733.53,0.84996,0.6487,1.08824,0.93177,0.91906,0.9606,0.76389,0.72604,0.50949,1.01463,0.00123094,0.00123094,0.00123094
9,9822.03,0.83256,0.63762,1.08196,0.95125,0.94463,0.97398,0.81995,0.59012,0.43876,0.93994,0.00120265,0.00120265,0.00120265
10,10902.9,0.81428,0.61501,1.07428,0.95579,0.95219,0.97905,0.82343,0.58915,0.42451,0.93013,0.00117435,0.00117435,0.00117435
11,11991.4,0.79976,0.60788,1.06442,0.95691,0.94956,0.97756,0.8143,0.61079,0.4144,0.93635,0.00114606,0.00114606,0.00114606
12,13084.3,0.79582,0.58932,1.06033,0.96013,0.94641,0.97755,0.82876,0.58882,0.4089,0.93362,0.00111776,0.00111776,0.00111776
13,14175.7,0.79232,0.58597,1.05645,0.96385,0.963,0.98261,0.84566,0.54277,0.37533,0.90605,0.00108947,0.00108947,0.00108947
14,15268.4,0.77029,0.57385,1.05033,0.96285,0.95738,0.97986,0.8307,0.56949,0.3949,0.92341,0.00106118,0.00106118,0.00106118
15,16358.1,0.76142,0.56299,1.04497,0.96302,0.96139,0.98232,0.84566,0.5411,0.38126,0.90303,0.00103288,0.00103288,0.00103288
16,17440.8,0.7568,0.55675,1.04471,0.96817,0.96061,0.98329,0.84506,0.55204,0.37269,0.90669,0.00100459,0.00100459,0.00100459
17,18529.3,0.74977,0.54552,1.04634,0.9717,0.96393,0.98352,0.85625,0.52517,0.35409,0.90226,0.000976293,0.000976293,0.000976293
